season,week,home_team,away_team,result,game_type,div_game,game_id,home_score,away_score
2015,1,NE,PIT,7.0,REG,0.0,,,
2015,1,BUF,IND,13.0,REG,0.0,,,
2015,1,CHI,GB,-8.0,REG,1.0,,,
2015,1,HOU,KC,-7.0,REG,0.0,,,
2015,1,JAX,CAR,-11.0,REG,0.0,,,
2015,1,NYJ,CLE,21.0,REG,0.0,,,
2015,1,STL,SEA,3.0,REG,1.0,,,
2015,1,WAS,MIA,-7.0,REG,0.0,,,
2015,1,ARI,NO,12.0,REG,0.0,,,
2015,1,SD,DET,5.0,REG,0.0,,,
2015,1,DEN,BAL,6.0,REG,0.0,,,
2015,1,OAK,CIN,-20.0,REG,0.0,,,
2015,1,TB,TEN,-28.0,REG,0.0,,,
2015,1,DAL,NYG,1.0,REG,1.0,,,
2015,1,ATL,PHI,2.0,REG,0.0,,,
2015,1,SF,MIN,17.0,REG,0.0,,,
2015,2,KC,DEN,-7.0,REG,1.0,,,
2015,2,BUF,NE,-8.0,REG,1.0,,,
2015,2,CAR,HOU,7.0,REG,0.0,,,
2015,2,CHI,ARI,-25.0,REG,0.0,,,
2015,2,CIN,SD,5.0,REG,0.0,,,
2015,2,CLE,TEN,14.0,REG,0.0,,,
2015,2,MIN,DET,10.0,REG,1.0,,,
2015,2,NO,TB,-7.0,REG,1.0,,,
2015,2,NYG,ATL,-4.0,REG,0.0,,,
2015,2,PIT,SF,25.0,REG,0.0,,,
2015,2,WAS,STL,14.0,REG,0.0,,,
2015,2,JAX,MIA,3.0,REG,0.0,,,
2015,2,OAK,BAL,4.0,REG,0.0,,,
2015,2,PHI,DAL,-10.0,REG,1.0,,,
2015,2,GB,SEA,10.0,REG,0.0,,,
2015,2,IND,NYJ,-13.0,REG,0.0,,,
2015,3,NYG,WAS,11.0,REG,1.0,,,
2015,3,BAL,CIN,-4.0,REG,1.0,,,
2015,3,CAR,NO,5.0,REG,1.0,,,
2015,3,CLE,OAK,-7.0,REG,0.0,,,
2015,3,DAL,ATL,-11.0,REG,0.0,,,
2015,3,HOU,TB,10.0,REG,0.0,,,
2015,3,MIN,SD,17.0,REG,0.0,,,
2015,3,NE,JAX,34.0,REG,0.0,,,
2015,3,NYJ,PHI,-7.0,REG,0.0,,,
2015,3,STL,PIT,-6.0,REG,0.0,,,
2015,3,TEN,IND,-2.0,REG,1.0,,,
2015,3,ARI,SF,40.0,REG,1.0,,,
2015,3,MIA,BUF,-27.0,REG,1.0,,,
2015,3,SEA,CHI,26.0,REG,0.0,,,
2015,3,DET,DEN,-12.0,REG,0.0,,,
2015,3,GB,KC,10.0,REG,0.0,,,
2015,4,PIT,BAL,-3.0,REG,1.0,,,
2015,4,MIA,NYJ,-13.0,REG,1.0,,,
2015,4,ATL,HOU,27.0,REG,0.0,,,
2015,4,BUF,NYG,-14.0,REG,0.0,,,
2015,4,CHI,OAK,2.0,REG,0.0,,,
2015,4,CIN,KC,15.0,REG,0.0,,,
2015,4,IND,JAX,3.0,REG,1.0,,,
2015,4,TB,CAR,-14.0,REG,1.0,,,
2015,4,WAS,PHI,3.0,REG,1.0,,,
2015,4,SD,CLE,3.0,REG,0.0,,,
2015,4,ARI,STL,-2.0,REG,1.0,,,
2015,4,DEN,MIN,3.0,REG,0.0,,,
2015,4,SF,GB,-14.0,REG,0.0,,,
2015,4,NO,DAL,6.0,REG,0.0,,,
2015,4,SEA,DET,3.0,REG,0.0,,,
2015,5,HOU,IND,-7.0,REG,1.0,,,
2015,5,ATL,WAS,6.0,REG,0.0,,,
2015,5,BAL,CLE,-3.0,REG,1.0,,,
2015,5,CIN,SEA,3.0,REG,0.0,,,
2015,5,GB,STL,14.0,REG,0.0,,,
2015,5,KC,CHI,-1.0,REG,0.0,,,
2015,5,PHI,NO,22.0,REG,0.0,,,
2015,5,TB,JAX,7.0,REG,0.0,,,
2015,5,TEN,BUF,-1.0,REG,0.0,,,
2015,5,DET,ARI,-25.0,REG,0.0,,,
2015,5,DAL,NE,-24.0,REG,0.0,,,
2015,5,OAK,DEN,-6.0,REG,1.0,,,
2015,5,NYG,SF,3.0,REG,0.0,,,
2015,5,SD,PIT,-4.0,REG,0.0,,,
2015,6,NO,ATL,10.0,REG,1.0,,,
2015,6,BUF,CIN,-13.0,REG,0.0,,,
2015,6,CLE,DEN,-3.0,REG,0.0,,,
2015,6,DET,CHI,3.0,REG,1.0,,,
2015,6,JAX,HOU,-11.0,REG,1.0,,,
2015,6,MIN,KC,6.0,REG,0.0,,,
2015,6,NYJ,WAS,14.0,REG,0.0,,,
2015,6,PIT,ARI,12.0,REG,0.0,,,
2015,6,TEN,MIA,-28.0,REG,0.0,,,
2015,6,SEA,CAR,-4.0,REG,0.0,,,
2015,6,GB,SD,7.0,REG,0.0,,,
2015,6,SF,BAL,5.0,REG,0.0,,,
2015,6,IND,NE,-7.0,REG,0.0,,,
2015,6,PHI,NYG,20.0,REG,1.0,,,
2015,7,SF,SEA,-17.0,REG,1.0,,,
2015,7,JAX,BUF,3.0,REG,0.0,,,
2015,7,DET,MIN,-9.0,REG,1.0,,,
2015,7,IND,NO,-6.0,REG,0.0,,,
2015,7,KC,PIT,10.0,REG,0.0,,,
2015,7,MIA,HOU,18.0,REG,0.0,,,
2015,7,NE,NYJ,7.0,REG,1.0,,,
2015,7,STL,CLE,18.0,REG,0.0,,,
2015,7,TEN,ATL,-3.0,REG,0.0,,,
2015,7,WAS,TB,1.0,REG,0.0,,,
2015,7,SD,OAK,-8.0,REG,1.0,,,
2015,7,NYG,DAL,7.0,REG,1.0,,,
2015,7,CAR,PHI,11.0,REG,0.0,,,
2015,7,ARI,BAL,8.0,REG,0.0,,,
2015,8,NE,MIA,29.0,REG,1.0,,,
2015,8,KC,DET,35.0,REG,0.0,,,
2015,8,ATL,TB,-3.0,REG,1.0,,,
2015,8,BAL,SD,3.0,REG,0.0,,,
2015,8,CHI,MIN,-3.0,REG,1.0,,,
2015,8,CLE,ARI,-14.0,REG,0.0,,,
2015,8,HOU,TEN,14.0,REG,1.0,,,
2015,8,NO,NYG,3.0,REG,0.0,,,
2015,8,PIT,CIN,-6.0,REG,1.0,,,
2015,8,STL,SF,21.0,REG,1.0,,,
2015,8,OAK,NYJ,14.0,REG,0.0,,,
2015,8,DAL,SEA,-1.0,REG,0.0,,,
2015,8,DEN,GB,19.0,REG,0.0,,,
2015,8,CAR,IND,3.0,REG,0.0,,,
2015,9,CIN,CLE,21.0,REG,1.0,,,
2015,9,BUF,MIA,16.0,REG,1.0,,,
2015,9,CAR,GB,8.0,REG,0.0,,,
2015,9,MIN,STL,3.0,REG,0.0,,,
2015,9,NE,WAS,17.0,REG,0.0,,,
2015,9,NO,TEN,-6.0,REG,0.0,,,
2015,9,NYJ,JAX,5.0,REG,0.0,,,
2015,9,PIT,OAK,3.0,REG,0.0,,,
2015,9,SF,ATL,1.0,REG,0.0,,,
2015,9,TB,NYG,-14.0,REG,0.0,,,
2015,9,IND,DEN,3.0,REG,0.0,,,
2015,9,DAL,PHI,-6.0,REG,1.0,,,
2015,9,SD,CHI,-3.0,REG,0.0,,,
2015,10,NYJ,BUF,-5.0,REG,1.0,,,
2015,10,BAL,JAX,-2.0,REG,0.0,,,
2015,10,GB,DET,-2.0,REG,1.0,,,
2015,10,PHI,MIA,-1.0,REG,0.0,,,
2015,10,PIT,CLE,21.0,REG,1.0,,,
2015,10,STL,CHI,-24.0,REG,0.0,,,
2015,10,TB,DAL,4.0,REG,0.0,,,
2015,10,TEN,CAR,-17.0,REG,0.0,,,
2015,10,WAS,NO,33.0,REG,0.0,,,
2015,10,OAK,MIN,-16.0,REG,0.0,,,
2015,10,DEN,KC,-16.0,REG,1.0,,,
2015,10,NYG,NE,-1.0,REG,0.0,,,
2015,10,SEA,ARI,-7.0,REG,1.0,,,
2015,10,CIN,HOU,-4.0,REG,0.0,,,
2015,11,JAX,TEN,6.0,REG,1.0,,,
2015,11,ATL,IND,-3.0,REG,0.0,,,
2015,11,BAL,STL,3.0,REG,0.0,,,
2015,11,CAR,WAS,28.0,REG,0.0,,,
2015,11,CHI,DEN,-2.0,REG,0.0,,,
2015,11,DET,OAK,5.0,REG,0.0,,,
2015,11,HOU,NYJ,7.0,REG,0.0,,,
2015,11,MIA,DAL,-10.0,REG,0.0,,,
2015,11,PHI,TB,-28.0,REG,0.0,,,
2015,11,SD,KC,-30.0,REG,1.0,,,
2015,11,MIN,GB,-17.0,REG,1.0,,,
2015,11,SEA,SF,16.0,REG,1.0,,,
